0.2267	0.00155	0.00735	-0.00027	
0.2300	0.00114	0.00697	-0.00173	
0.2333	-0.00086	0.00442	-0.00075	
0.2367	-0.00230	0.00089	-0.00222	
0.2400	-0.00146	0.00165	-0.00207	
0.2433	-0.00049	0.00467	-0.00240	
0.2467	0.00125	0.00836	-0.00079	
0.2500	0.00100	0.00802	-0.00387	
0.2533	-0.00090	0.00494	-0.00273	
0.2567	-0.00162	-0.00011	-0.00236	
0.2600	-0.00261	-0.00017	-0.00207	
0.2633	-0.00158	0.00297	-0.00287	
0.2667	0.00171	0.00636	-0.00256	
0.2700	0.00165	0.00588	-0.00315	
0.2733	-0.00079	0.00321	-0.00133	
0.2767	-0.00182	0.00050	-0.00246	
0.2800	-0.00205	-0.00024	-0.00103	
0.2833	-0.00045	0.00221	-0.00219	
0.2867	0.00102	0.00645	-0.00079	
0.2900	0.00056	0.00636	-0.00252	
0.2933	-0.00145	0.00371	-0.00345	
0.2967	-0.00271	0.000	-0.00189	
0.3000	-0.00312	-0.00132	-0.00242	
0.3033	-0.00164	0.00318	-0.00324	
0.3067	-0.00032	0.00517	-0.00197	
0.3100	0.00056	0.00759	-0.00283	
0.3133	-0.00134	0.00486	-0.00222	
0.3167	-0.00240	0.00045	-0.00313	
0.3200	-0.00220	-0.00147	-0.00109	
0.3233	-0.00087	0.00105	-0.00340	
0.3267	0.00087	0.00603	-0.00197	
0.3300	0.00236	0.00921	-0.00223	
0.3333	0.00022	0.00645	-0.00160	
0.3367	-0.00172	0.00253	-0.00136	
0.3400	-0.00166	-0.00239	-0.00191	
0.3433	-0.00193	-0.00059	-0.00170	
0.3467	0.00138	0.00300	-0.00032	
0.3500	0.00085	0.00582	-0.00227	
0.3533	0.00053	0.00358	-0.00239	
0.3567	-0.00196	0.00221	-0.00187	
0.3600	-0.00301	-0.00161	-0.00204	
0.3633	-0.00300	-0.00085	-0.00270	
0.3667	-0.00108	0.00361	-0.00136	
0.3700	-0.00029	0.00783	-0.00121	
0.3733	-0.00142	0.00574	-0.00172	
0.3767	-0.00329	0.00355	-0.00216	
0.3800	-0.00276	-0.00021	-0.00149	
0.3833	-0.00220	0.000	-0.00238	
0.3867	-0.00067	0.00292	-0.00201	
0.3900	-0.00043	0.00694	-0.00228	
0.3933	-0.00050	0.00711	-0.00321	
0.3967	-0.00134	0.00512	-0.00289	
0.4000	-0.00154	-0.00050	-0.00328	
0.4033	-0.00154	-0.00165	-0.00244	
0.4067	0.00079	0.00082	-0.00184	
0.4100	0.00211	0.00582	-0.00247	
0.4133	0.00080	0.00715	-0.00255	
0.4167	0.000	0.00386	-0.00222	
0.4200	-0.00148	0.00173	-0.00223	
