Tiempo [s],u [m],v [m/s],a [m/s²]
51.46,8.542324416224065e-07,-5.604419340676352e-06,-0.0004382211696162522
51.46,8.31915560082834e-07,-7.0602475308947396e-06,-0.00043232997746230474
51.47,8.047983595824606e-07,-8.495433609499388e-06,-0.0004252330248361655
51.47,7.72960715290106e-07,-9.905652341558292e-06,-0.00041656307272412425
51.47,7.36500018990628e-07,-1.1285342710717296e-05,-0.000405938900750997
51.48,6.955353265317755e-07,-1.2627687815673081e-05,-0.0003929971083983285
51.48,6.502113126921269e-07,-1.3924699144856464e-05,-0.0003774219651776371
51.48,6.007017075284028e-07,-1.5167397007739045e-05,-0.00035897124803612384
51.49,5.472119313706109e-07,-1.6346072471612108e-05,-0.0003374965356870894
51.49,4.899807066471217e-07,-1.7450611224492502e-05,-0.0003129566369565303
51.49,4.292804991956869e-07,-1.8470855919562295e-05,-0.0002854234835748248
51.5,3.6541672478098505e-07,-1.9396981523798655e-05,-0.000255080056826908
51.5,2.9872574257647235e-07,-2.021985750081928e-05,-0.00022221080866348104
51.5,2.2957174038439943e-07,-2.0931372306958615e-05,-0.0001871851742531902
51.51,1.5834269086581034e-07,-2.1524698348676107e-05,-0.0001504355879385219
51.51,8.544561886979585e-08,-2.1994480332699108e-05,-0.00011243150666768064
51.51,1.130146243279304e-08,-2.23369355178408e-05,-7.36516217296862e-05
51.52,-6.366016895756947e-08,-2.2549861378738526e-05,-3.45561178752951e-05
51.52,-1.390060372988702e-07,-2.2632552848534848e-05,4.438609293219201e-06
51.52,-2.1430384435657512e-07,-2.258563885394396e-05,4.2980954610053344e-05
51.53,-2.891260969888432e-07,-2.241085392685381e-05,8.079900762380822e-05
