t,u (m),v (m/s),a (m/s2)
4.373,1.0264042904813328e-08,1.0566525789480318e-07,2.876218660412754e-07
4.377,1.0617327680832206e-08,1.0634094749378971e-07,-5.2038238048789305e-08
4.38,1.0971009976559617e-08,1.0590162154556652e-07,-3.7107632053074566e-07
4.383,1.1321464355560383e-08,1.0440360197882412e-07,-6.84394166637547e-07
4.387,1.1665168163185403e-08,1.0185238061007285e-07,-1.0082825433473441e-06
4.39,1.199852732354161e-08,9.819956108523323e-08,-1.358534941776012e-06
4.393,1.2317702468766713e-08,9.334611321275491e-08,-1.7485314816478502e-06
4.397,1.26184563928325e-08,8.715192456046062e-08,-2.187430482892699e-06
4.4,1.2896042936619482e-08,7.945113789792889e-08,-2.6786507375670553e-06
4.403,1.3145154816726774e-08,7.00722208489062e-08,-3.2187460431668643e-06
4.407,1.3359943810968548e-08,5.886136322652366e-08,-3.7967883841054023e-06
4.41,1.3534121454040229e-08,4.570744630605827e-08,-4.3943320625953355e-06
4.413,1.366114222387687e-08,3.0566630591522083e-08,-4.985979113319409e-06
4.417,1.3734464634084985e-08,1.3484572482037759e-08,-5.540528379117826e-06
4.42,1.374787915649862e-08,-5.385638215288794e-09,-6.022663267124504e-06
4.423,1.369588590171491e-08,-2.5771517195387124e-08,-6.3950601864241045e-06
4.427,1.3574099979783284e-08,-4.7276506882480834e-08,-6.620802014058373e-06
4.43,1.3379658807969382e-08,-6.938347091237658e-08,-6.665945601123768e-06
4.433,1.3111603544208133e-08,-9.146672675991695e-08,-6.502065026669792e-06
4.437,1.2771206591244618e-08,-1.1281239126902618e-07,-6.1085973171628876e-06
4.44,1.2362218787755082e-08,-1.326462587389265e-07,-5.474844353730104e-06
4.443,1.1891013342023728e-08,-1.5016793004160005e-07,-4.601468386454631e-06
4.447,1.1366608661499927e-08,-1.6458941049807848e-07,-3.5013680010326492e-06
4.45,1.0800558735329754e-08,-1.751760521400217e-07,-2.199863480599323e-06
4.453,1.0206707180797463e-08,-1.812874909481661e-07,-7.341346924950132e-07
4.457,9.600809074948038e-09,-1.824161131441347e-07,8.480577074181924e-07
4.46,9.000032761784396e-09,-1.7822067634967678e-07,2.490350045653194e-06
4.463,8.422361456751767e-09,-1.685528687246448e-07,4.1303167422637864e-06
4.467,7.885921168310742e-09,-1.5347500825222258e-07,5.7024787985644835e-06
4.47,7.4082667674074915e-09,-1.3326748349041178e-07,7.141588572051741e-06
4.473,7.005661651310464e-09,-1.0842516607453563e-07,8.386009347828908e-06
4.477,6.692388002442031e-09,-7.964263197226356e-08,9.381006118677976e-06
4.48,6.480124107621704e-09,-4.778867170952393e-08,1.0081726477262439e-05
4.483,6.377422465191677e-09,-1.3871258189267456e-08,1.0455708825856741e-05
4.487,6.389317592304664e-09,2.100530842956098e-08,1.0484745273070308e-05
4.49,6.5170858400117716e-09,5.568882974392251e-08,1.0165981611412608e-05
4.493,6.7581714357366485e-09,8.903060408526879e-08,9.512176543922523e-06
4.497,7.106283918813254e-09,1.1993695827322859e-07,8.551088134370671e-06
4.5,7.551662618242524e-09,1.4741802928800457e-07,7.324014359750456e-06
4.503,8.081494426321994e-09,1.7063104021630672e-07,5.883564582342284e-06
4.507,8.680462453763478e-09,1.8891561924804904e-07,4.2907967963056555e-06
4.51,9.331395762045254e-09,2.0181917691418778e-07,2.6118757796080196e-06
4.513,1.0015984730075616e-08,2.09110935472532e-07,9.144812184702911e-07
4.517,1.071552314431235e-08,2.1078393934571995e-07,-7.358394005474755e-07
4.52,1.1411637030981583e-08,2.0704506978731193e-07,-2.2791243902458933e-06
4.523,1.2086961654182951e-08,1.982938872861404e-07,-3.664043775153884e-06
4.527,1.2725731983638495e-08,1.8509180984381313e-07,-4.850358504371991e-06
4.53,1.331425796316233e-08,1.681237350022308e-07,-5.810610311250583e-06
4.533,1.3841263775306557e-08,1.4815472814518858e-07,-6.530972604295181e-06
4.537,1.4298079432396025e-08,1.2598463498621012e-07,-7.011188770484566e-06
4.54,1.4678682792783379e-08,1.0240363261728452e-07,-7.263630992452727e-06
4.543,1.4979599903365208e-08,7.815159018908252e-08,-7.31155224006323e-06
4.547,1.5199680627067207e-08,5.388381001126917e-08,-7.186673793068786e-06
4.55,1.5339774239804217e-08,3.0145217270717e-08,-6.926284333636467e-06
4.553,1.5402335519199015e-08,7.354438050760162e-09,-6.570076709845419e-06
4.557,1.539099537809378e-08,-1.420155477690479e-08,-6.156956200500083e-06
4.56,1.5310131064510534e-08,-3.4362326348711214e-08,-5.722052549221251e-06
4.563,1.5164469327396693e-08,-5.3079269897966605e-08,-5.294170215128864e-06
4.567,1.4958751832354675e-08,-7.039290346015856e-08,-4.8938455625452024e-06
4.57,1.4697485865372496e-08,-8.640432150658043e-08,-4.532161207241907e-06
4.573,1.4384795490003414e-08,-1.0124338493584723e-07,-4.210389007933254e-06
4.577,1.4024379396862394e-08,-1.150364274083729e-07,-3.920480703463634e-06
4.58,1.3619572445664577e-08,-1.2787625168104558e-07,-3.6463440009447955e-06
4.583,1.3173499064978528e-08,-1.3979694764507013e-07,-3.365800354012239e-06
4.587,1.2689298934302592e-08,-1.507556528349575e-07,-3.0530425918017026e-06
4.59,1.2170399324186787e-08,-1.6062276464636133e-07,-2.681404080651086e-06
4.593,1.162080457409792e-08,-1.6918143854325102e-07,-2.2261944240173117e-06
4.597,1.1045371736843716e-08,-1.7613640643441154e-07,-1.6673765637287966e-06
4.6,1.045004252581606e-08,-1.811314146139125e-07,-9.918789509663713e-07
4.603,9.84200518990499e-09,-1.8377388917993344e-07,-1.9533200565058442e-07
4.607,9.22976558848495e-09,-1.8366482157200342e-07,7.168771208495314e-07
4.61,8.623114013568505e-09,-1.8043151641699178e-07,1.729334064013162e-06
4.613,8.032982592188238e-09,-1.7376057836087264e-07,2.8171219084056982e-06
4.617,7.471196801758891e-09,-1.6342853439077614e-07,3.947084612065076e-06
4.62,6.950132946537442e-09,-1.4932770260963603e-07,5.079740989110679e-06
4.623,6.482300793855041e-09,-1.3148527797606496e-07,6.171682402050048e-06
4.627,6.079876378305392e-09,-1.1007417689034461e-07,7.178269067585451e-06
4.63,5.754213778735571e-09,-8.541481838762637e-08,8.056417208412456e-06
4.633,5.515366242639301e-09,-5.7967721206464976e-08,8.76725854526751e-06
4.637,5.371646282101166e-09,-2.8317491804052413e-08,9.278492682722858e-06
4.64,5.329251441086977e-09,2.8506178431095027e-09,9.56624620752999e-06
4.643,5.391977592300218e-09,3.477984839869561e-08,9.61633054444237e-06
4.647,5.561035287770672e-09,6.667469800597509e-08,9.424820403812806e-06
4.65,5.834977456648541e-09,9.77350379283573e-08,8.997939399837899e-06
4.653,6.209739158644228e-09,1.2718929879799732e-07,8.351287925714553e-06
4.657,6.678782788592479e-09,1.5432461370553503e-07,7.508507738245545e-06
4.66,7.233335638245295e-09,1.7851213615538602e-07,6.4994980438182906e-06
4.663,7.862701514236202e-09,1.9922618423070477e-07,5.358358693525513e-06
4.667,8.55462455150601e-09,2.1605642648158166e-07,4.121210667318159e-06
4.67,9.295681642833796e-09,2.2871285870354893e-07,2.8240836916105947e-06
4.673,1.0071680055467515e-08,2.370239171984421e-07,1.501017166903903e-06
4.677,1.0868038749394252e-08,2.4092855042074626e-07,1.825074489167127e-07
4.68,1.1670135346287594e-08,2.4046349075841766e-07,-1.105593832309326e-06
4.683,1.2463605330084756e-08,2.3574726976972936e-07,-2.3426825817322907e-06
4.687,1.3234585416621287e-08,2.2696265101728355e-07,-3.513492694370162e-06
4.69,1.3969898626887775e-08,2.143391685219379e-07,-4.607697946248005e-06
4.693,1.4657184006492942e-08,1.981373333956574e-07,-5.6191045072378855e-06
4.697,1.5284978682673967e-08,1.7863579667105538e-07,-6.544525967206361e-06
4.7,1.584276367873794e-08,1.5612242105809237e-07,-7.382467545900861e-06
4.703,1.6320987381967324e-08,1.3088979431288259e-07,-8.131743529804424e-06
4.707,1.6711081603846128e-08,1.0323528013873565e-07,-8.790179923955277e-06
4.71,1.7005484722803626e-08,7.346523643784212e-08,-9.353505676694244e-06
4.713,1.7197684561040854e-08,4.190266994851084e-08,-9.814555343567391e-06
4.717,1.7282290623851444e-08,8.897237942070267e-09,-1.016284462457283e-05
4.72,1.725514134095252e-08,-2.5163705931218845e-08,-1.0384590773851728e-05
4.723,1.7113447338000427e-08,-5.984449431997684e-08,-1.046316559898602e-05
4.727,1.6855966909958245e-08,-9.465239754892951e-08,-1.0379978901959492e-05
4.73,1.648320516142719e-08,-1.2903213292543259e-07,-1.0115737670669415e-05
4.733,1.5997624013301562e-08,-1.6236480627473902e-07,-9.651987177841973e-06
4.737,1.540384685932015e-08,-1.9397215935583103e-07,-8.972854739717425e-06
4.74,1.4708839299116715e-08,-2.2312667135044613e-07,-8.066843326452301e-06
4.743,1.3922046298987321e-08,-2.490676049961298e-07,-6.928584302348674e-06
4.747,1.3055466443111255e-08,-2.710227271752282e-07,-5.560388550961294e-06
4.75,1.212364563667043e-08,-2.882349485934037e-07,-3.973496006048221e-06
4.753,1.114357571363766e-08,-2.9999278431901856e-07,-2.1889120908636534e-06
4.757,1.0134487650269066e-08,-3.056631823250256e-07,-2.3774000273076954e-07
4.76,9.117534364147018e-09,-3.047250009418446e-07,1.8390374476455468e-06
4.763,8.115364042043243e-09,-2.968012746560031e-07,3.9913573389152204e-06
4.767,7.151591273157009e-09,-2.816883261660867e-07,6.161462621361596e-06
4.77,6.2501796503079725e-09,-2.593798274272786e-07,8.285805382571553e-06
4.773,5.4347554727767095e-09,-2.3008412637297854e-07,1.029741823634886e-05
4.777,4.727877422811615e-09,-1.9423337299006925e-07,1.2128640929669909e-05
4.78,4.150291305618942e-09,-1.5248337754652026e-07,1.3714061936835805e-05
4.783,3.7202017214308076e-09,-1.0570360093946412e-07,1.4993535130130702e-05
4.787,3.4525937111784914e-09,-5.495717011010317e-08,1.5915099685307473e-05
4.79,3.3586368385861795e-09,-1.4713740809090806e-09,1.6437643616143385e-05
4.793,3.4452017757877855e-09,5.3400376879458185e-08,1.653315741550458e-05
4.797,3.7145153112588404e-09,1.0822362384226827e-07,1.6188411231745198e-05
4.8,4.163973894686636e-09,1.615329769566021e-07,1.5405977520441564e-05
4.803,4.786128722865768e-09,2.118850022755023e-07,1.4204485994461622e-05
4.807,5.56884729339618e-09,2.579112981267385e-07,1.261808622724997e-05
4.81,6.495647671487638e-09,2.9836912809397476e-07,1.0695127776029624e-05
4.813,7.54619305447131e-09,3.32187043059562e-07,8.496106687322755e-06
4.817,8.696926010771592e-09,3.585031298707023e-07,6.090977930167751e-06
4.82,9.921814525537509e-09,3.7669389718834357e-07,3.555982717942946e-06
4.823,1.1193176225556861e-08,3.863923292589009e-07,9.70168052831756e-07
4.827,1.248254327331112e-08,3.8749424523810036e-07,-1.5882052422785117e-06
4.83,1.3761528656452089e-08,3.801527669161935e-07,-4.0451565350555554e-06
4.833,1.5002655121580497e-08,3.647614044847776e-07,-6.33416169734492e-06
4.837,1.618011085589604e-08,3.419269678445605e-07,-8.398833512777966e-06
4.84,1.72704010172098e-08,3.124340953152637e-07,-1.0194939569413223e-05
4.843,1.8252871031119848e-08,2.772037042161055e-07,-1.1691642335688823e-05
4.847,1.9110085813547976e-08,2.3724800800114192e-07,-1.2871899065929072e-05
4.85,1.9828058153541622e-08,1.936249069757812e-07,-1.3732013786269513e-05
4.853,2.039632879229169e-08,1.47394532779071e-07,-1.4280396818460394e-05
4.857,2.0807909620497335e-08,9.958050302141839e-08,-1.4535634023042986e-05
4.86,2.105910926620934e-08,5.113804659582321e-08,-1.4524034263218827e-05
4.863,2.1149266572003336e-08,2.9305777682173975e-09,-1.4276848480298923e-05
4.867,2.108042162256367e-08,-4.428436013943443e-08,-1.3827368958243652e-05
4.87,2.0856955834845892e-08,-8.985958766639451e-08,-1.32081554527214e-05
4.873,2.0485231987947015e-08,-1.3325379951797766e-07,-1.2448577671121909e-05
4.877,1.9973262043072787e-08,-1.74019324975754e-07,-1.1572887960789042e-05
4.88,1.9330425449136363e-08,-2.1178400809437958e-07,-1.0598946989657131e-05
4.883,1.8567253736933283e-08,-2.462294750111664e-07,-9.5377112404777e-06
4.887,1.7695289182176693e-08,-2.770683439483664e-07,-8.393501759644619e-06
4.89,1.6727016772565083e-08,-3.040229548272118e-07,-7.1650214444690134e-06
4.893,1.5675860404559416e-08,-3.2680803383627696e-07,-5.847025125616614e-06
4.897,1.4556226795660206e-08,-3.451193468324869e-07,-4.4324959175644626e-06
4.9,1.3383574658871749e-08,-3.586298573657062e-07,-2.9151217137646418e-06
4.903,1.217448279351596e-08,-3.6699421004920717e-07,-1.2918561142531554e-06
4.907,1.0946689230364188e-08,-3.698616296797034e-07,4.3466545967546346e-07
4.91,9.719074541758866e-09,-3.6689656211215315e-07,2.2540840055865005e-06
4.913,8.51156590127791e-09,-3.578056433557982e-07,4.146848355553461e-06
4.917,7.344944212650765e-09,-3.423689639198152e-07,6.0834666306875245e-06
4.92,6.24054415722748e-09,-3.204731394330206e-07,8.024584349108238e-06
4.923,5.219845786235745e-09,-2.92143402890321e-07,9.921924149707977e-06
4.927,4.3039656453952566e-09,-2.5757187870293796e-07,1.1720048455431788e-05
4.93,3.513064595009942e-09,-2.1713936800186547e-07,1.3358857978034701e-05
4.933,2.8656977844021967e-09,-1.7142833015219146e-07,1.4776660748705284e-05
4.937,2.378138986749894e-09,-1.2122532379068735e-07,1.5913613595797322e-05
4.94,2.0637161313745756e-09,-6.751186164659024e-08,1.6715301169082286e-05
4.943,1.9321970102993853e-09,-1.1443438288681244e-08,1.7136191352658545e-05
4.947,1.9892635478290013e-09,4.568267150773644e-08,1.714274427970638e-05
4.95,2.236109742698239e-09,1.0246947722381882e-07,1.6715920681857682e-05
4.953,2.6691925740970128e-09,1.574700655291962e-07,1.585293100211199e-05
4.957,3.2801571818523815e-09,2.092424664646044e-07,1.456807595563617e-05
4.96,4.055948087410098e-09,2.564065128034737e-07,1.2892616661646502e-05
4.963,4.979107686626198e-09,2.9769944628385157e-07,1.0873660492457313e-05
4.967,6.028252493593381e-09,3.320270562016565e-07,8.572142360981604e-06
4.97,7.178707385827481e-09,3.585074246533749e-07,6.060008839297695e-06
4.973,8.403269076832091e-09,3.765047807940078e-07,3.4167966235722523e-06
4.977,9.6730628075591e-09,3.8565161924685056e-07,7.258141242469405e-07
4.98,1.095845133533887e-08,3.8585797464810694e-07,-1.929815939702763e-06
4.983,1.2229952981017389e-08,3.773075734488392e-07,-4.471031611659058e-06
4.987,1.3459125882839566e-08,3.6044136868098225e-07,-6.826346924846503e-06
4.99,1.4619378677591204e-08,3.359298055263913e-07,-8.934829253591345e-06
4.993,1.568667331847233e-08,3.0463576275266155e-07,-1.0748356217226217e-05
4.997,1.6640093150310042e-08,2.6757067741213455e-07,-1.2233025050951717e-05
5.0,1.7462258299927098e-08,2.2584671618569374e-07,-1.33696685185756e-05
5.003,1.8139580149516364e-08,1.8062796198979734e-07,-1.4153488858179054e-05
5.007,1.866235644267291e-08,1.3308351962520752e-07,-1.4592853095533477e-05
5.01,1.9024717845120806e-08,8.434521119429234e-08,-1.4707399382640376e-05
5.013,1.9224444860519604e-08,3.5472037077621084e-08,-1.4525599312549167e-05
5.017,1.9262680331576066e-08,-1.2576967583160243e-08,-1.4081996369339251e-05
5.02,1.9143567004087162e-08,-5.8960564893217076e-08,-1.3414316769277432e-05
5.023,1.887384152533262e-08,-1.0296360981505312e-07,-1.2560693262752037e-05
5.027,1.846241575179453e-08,-1.4399633816284952e-07,-1.1557184591160992e-05
5.03,1.791997345435981e-08,-1.8158578967555832e-07,-1.0435779212600254e-05
5.033,1.7258605758795337e-08,-2.153610807909887e-07,-9.223003767434288e-06
5.037,1.649150233228507e-08,-2.450346125443994e-07,-7.93921983194693e-06
5.04,1.5632708018952493e-08,-2.7038152006703093e-07,-6.598623577729546e-06
5.043,1.4696946915285865e-08,-2.912196882421971e-07,-5.209926182454817e-06
5.047,1.3699508392681351e-08,-3.073925086315128e-07,-3.7776021210747943e-06
5.05,1.2656182959359232e-08,-3.1875617209089094e-07,-2.303587118884634e-06
5.053,1.1583230622735386e-08,-3.2517284759030303e-07,-7.892477354651024e-07
5.057,1.0497360932326705e-08,-3.2651048743499467e-07,7.625757069557393e-07
5.06,9.415702513755177e-09,-3.2264934014665056e-07,2.3456487182233143e-06
5.063,8.355740695309458e-09,-3.134946134498545e-07,3.948723731184952e-06
5.067,7.335204673383855e-09,-2.9899413747213487e-07,5.554396573776325e-06
5.07,6.3718903638659506e-09,-2.791593510491028e-07,7.1385493274320345e-06
5.073,5.483411242776724e-09,-2.5408759111594035e-07,8.67045804853925e-06
5.077,4.686876535665336e-09,-2.2398346394043658e-07,1.0113571394003679e-05
5.08,3.998503502758317e-09,-1.8917708359706276e-07,1.142693405456957e-05
5.083,3.4331776740906113e-09,-1.5013711929374568e-07,1.2567145830401964e-05
5.087,3.0039811190897202e-09,-1.0747697015569887e-07,1.3490731454256323e-05
5.09,2.7217136365338057e-09,-6.195286070313401e-08,1.4156726287415956e-05
5.093,2.5944347323302868e-09,-1.445327764559864e-08,1.4529309649894168e-05
5.097,2.6270551647175e-09,3.4020225552863644e-08,1.4580263502813407e-05
5.1,2.8210056022334933e-09,8.238013631542908e-08,1.4291091047660543e-05
5.103,3.1740066015357597e-09,1.2948672114096213e-07,1.3654617583066713e-05
5.107,3.6799589679961892e-09,1.7418658183501166e-07,1.2675969584369352e-05
5.11,4.328966984757787e-09,2.1535389311801672e-07,1.1372855116948048e-05
5.113,5.1074995451458025e-09,2.519319812281361e-07,9.775131789685044e-06
5.117,5.998686414007103e-09,2.829728937382942e-07,7.923692352115484e-06
5.12,6.982739295018459e-09,3.076727734603217e-07,5.868772808475642e-06
5.123,8.037480658649323e-09,3.254011911216714e-07,3.6677786040679386e-06
5.127,9.138957812778486e-09,3.357229886848181e-07,1.3828188391453788e-06
5.13,1.0262115855717101e-08,3.384117807884594e-07,-9.219066246213037e-07
5.133,1.1381501170989954e-08,3.334547748225907e-07,-3.1826861208562377e-06
5.137,1.2471966950428998e-08,3.2104914857821165e-07,-5.338690216800908e-06
5.14,1.3509353841395897e-08,3.0159071382125666e-07,-7.3340464874648425e-06
5.143,1.4471121899544821e-08,2.756559947044024e-07,-9.119517386175436e-06
5.147,1.533691421832089e-08,2.439791062792569e-07,-1.0653706511248486e-05
5.15,1.6089037506445788e-08,2.0742499671207935e-07,-1.1903803360885713e-05
5.153,1.671285001363211e-08,1.669605687902272e-07,-1.2845893919111683e-05
5.157,1.719705208043776e-08,1.2362509215905594e-07,-1.3464880021252747e-05
5.16,1.753387893356717e-08,7.850111013968496e-08,-1.3754127760577641e-05
5.163,1.771919880000087e-08,3.268670136443504e-08,-1.3714896487487345e-05
5.167,1.775252186150981e-08,-1.2730286243299918e-08,-1.3355684999088224e-05
5.17,1.76369270146551e-08,-5.6695790144984445e-08,-1.2691539357955628e-05
5.173,1.737891386991593e-08,-9.821082897712894e-08,-1.1743418773480844e-05
5.177,1.6988187203081952e-08,-1.3635072975201713e-07,-1.0537615650964166e-05
5.18,1.6477380386292305e-08,-1.7028250275366457e-07,-9.105272679047909e-06
5.183,1.5861723527216684e-08,-1.9928063785845196e-07,-7.481937277398088e-06
5.187,1.5158661392769378e-08,-2.2274143506572469e-07,-5.707139305963017e-06
5.19,1.4387426017740928e-08,-2.401958701647495e-07,-3.823900101170095e-06
5.193,1.3568569320839956e-08,-2.5132073564344384e-07,-1.878135657868068e-06
5.197,1.2723462188333355e-08,-2.559476384374118e-07,8.212470762888594e-08
5.2,1.1873768237830357e-08,-2.5406921621720435e-07,2.0077321001505993e-06
5.203,1.104090275869897e-08,-2.458418402398615e-07,3.849652939879193e-06
5.207,1.0245489826321791e-08,-2.3158402971486544e-07,5.560410461423625e-06
5.21,9.506832982900666e-09,-2.117699156951248e-07,7.095700785396066e-06
5.213,8.842416810036036e-09,-1.8701725056222407e-07,8.41608998928333e-06
5.217,8.267457849265945e-09,-1.58069786530787e-07,9.488680070573276e-06
5.22,7.794523301172272e-09,-1.2577421567058122e-07,1.0288637234808588e-05
5.223,7.433234624583858e-09,-9.105225936934446e-08,1.0800427701420292e-05
5.227,7.190070427302758e-09,-5.486896335377482e-08,1.1018663615539025e-05
5.23,7.068278940941344e-09,-1.8198598969237346e-08,1.0948437801539597e-05
5.233,7.06790514538519e-09,1.8010086031277156e-08,1.060510009115149e-05
5.237,7.1859315623644835e-09,5.286738099422792e-08,1.001344549465946e-05
5.24,7.416525362829236e-09,8.557294631134183e-08,9.206334214538565e-06
5.243,7.751378156383024e-09,1.1544113966601744e-07,8.222822366429067e-06
5.247,8.180119244098483e-09,1.419198059785807e-07,7.105926256369003e-06
5.25,8.690778719663736e-09,1.6460142073007757e-07,5.900153605136851e-06
5.253,9.270273955743595e-09,1.8322598068323513e-07,4.6490067537641255e-06
5.257,9.904892054968723e-09,1.9767567860705112e-07,3.3926138532814323e-06
5.26,1.0580741896208278e-08,2.0796195197473095e-07,2.1656840652886574e-06
5.263,1.1284152389874412e-08,2.1420611035462896e-07,9.959363933576608e-07
5.267,1.2001998325292159e-08,2.1661520352309383e-07,-9.68979437730185e-08
5.27,1.2721941286171071e-08,2.154551242150173e-07,-1.1014010658885135e-06
5.273,1.3432580118884873e-08,2.1102316913832787e-07,-2.0141418533656565e-06
5.277,1.4123512746164994e-08,2.0362221892530019e-07,-2.8387129571701527e-06
5.28,1.4785318077620915e-08,1.9353856203832027e-07,-3.5842470243740047e-06
5.283,1.540947287852513e-08,1.8102500347064857e-07,-4.26352626884716e-06
5.287,1.5988223167252918e-08,1.662904512033832e-07,-4.890880453263796e-06
5.29,1.6514432652560794e-08,1.4949654873618887e-07,-5.480037656219863e-06
5.293,1.698143165743801e-08,1.3076134974796928e-07,-6.042121416602157e-06
5.297,1.7382888925523664e-08,1.1016940585858814e-07,-6.583963580729128e-06
5.3,1.7712725711012403e-08,8.778709665302424e-08,-7.106875047239047e-06
5.303,1.7965086951302025e-08,6.368160573207207e-08,-7.605958301427099e-06
5.307,1.813437857153949e-08,3.794168651766672e-08,-8.070022107105425e-06
5.31,1.8215373541330076e-08,1.0698210479744742e-08,-8.482098525128697e-06
5.313,1.820338271747795e-08,-1.7857453763024135e-08,-8.820494808662912e-06
5.317,1.809448039977005e-08,-4.7458944606247074e-08,-9.060297632957022e-06
5.32,1.788576934698021e-08,-7.775569367523582e-08,-9.1751988676885e-06
5.323,1.7575666105753272e-08,-1.0830993478014604e-07,-9.13948554611904e-06
5.327,1.7164185213407615e-08,-1.3860036788669332e-07,-8.930055974756213e-06
5.33,1.665320021804765e-08,-1.6803242016749806e-07,-8.528287899573681e-06
5.333,1.604666052446781e-08,-1.9595451667118669e-07,-7.921645547246712e-06
5.337,1.5350745650778154e-08,-2.2167940150005536e-07,-7.104919110533906e-06
5.34,1.4573942232218602e-08,-2.4450921523195195e-07,-6.081013784312201e-06
5.343,1.3727033779321713e-08,-2.637628134994595e-07,-4.861272045706874e-06
5.347,1.2822998318762203e-08,-2.788037677932287e-07,-3.4653254825202794e-06
5.35,1.187681420219054e-08,-2.890675092465985e-07,-1.9205108856924207e-06
5.353,1.0905179269540743e-08,-2.9408621147905666e-07,-2.6090884305881914e-07
5.357,9.926152854542408e-09,-2.93510232013458e-07,1.4739017526063443e-06
5.36,8.958733575979777e-09,-2.8712522191964747e-07,3.2403053550157584e-06
5.363,8.022388392242148e-09,-2.748642698675792e-07,4.992223517531062e-06
5.367,7.136549973086789e-09,-2.568147713643688e-07,6.682723411717773e-06
5.37,6.320100068580474e-09,-2.3321995843657425e-07,8.265599736151945e-06
5.373,5.590856412979048e-09,-2.0447523868513342e-07,9.696857741593355e-06
5.377,4.965079878622403e-09,-1.711196934122801e-07,1.0936073267954195e-05
5.38,4.457017283641083e-09,-1.3382317110952957e-07,1.1947598199075157e-05
5.383,4.078493644709492e-09,-9.336950870472684e-08,1.270159078661267e-05
5.387,3.838565822908128e-09,-5.063645711665104e-08,1.3174879508535357e-05
5.39,3.743247591976272e-09,-6.5728828307656125e-09,1.3351640267620133e-05
5.393,3.795314170769342e-09,3.782613170819158e-08,1.3223886215262306e-05
5.397,3.994192190219838e-09,8.154566821082092e-08,1.2791774888341013e-05
5.4,4.335938963666692e-09,1.2357819688437693e-07,1.2063699870468331e-05
5.403,4.813312687266255e-09,1.6295093192774783e-07,1.1056173192607673e-05
5.407,5.415932792332528e-09,1.9875259249954036e-07,9.793464699084496e-06
5.41,6.130527132838393e-09,2.3015876714042744e-07,8.30700809499757e-06
5.413,6.941260008489828e-09,2.5645507820376526e-07,6.6345428144253235e-06
5.417,7.830132272208563e-09,2.770572922598842e-07,4.819023584932719e-06
5.42,8.777442056063466e-09,2.915276046384459e-07,2.9073007006284524e-06
5.423,9.762292163797243e-09,2.9958637373138894e-07,9.486189167689332e-07
5.427,1.0763128062133173e-08,3.011187576939457e-07,-1.006996355171399e-06
5.43,1.175828891881089e-08,2.9617591311455733e-07,-2.910423268755868e-06
5.433,1.2726553358009634e-08,2.8497062153747916e-07,-4.71507745428052e-06
5.437,1.3647661737372535e-08,2.678675640933843e-07,-6.378432552834687e-06
5.44,1.450279790741847e-08,2.453687131256164e-07,-7.863318218193426e-06
5.443,1.5275015488677932e-08,2.1809462297572923e-07,-9.138947119032151e-06
5.447,1.5949596653866072e-08,1.867626039170003e-07,-1.018157415398277e-05
5.45,1.6514335073146998e-08,1.5216300748674064e-07,-1.0974785127465625e-05
5.453,1.6959738808946425e-08,1.1513487074497664e-07,-1.1509400010396549e-05
5.457,1.7279153123869272e-08,7.654218245585066e-08,-1.1783016850949776e-05
5.46,1.746880718178034e-08,3.725192134120152e-08,-1.1799253556069051e-05
5.463,1.752779208365718e-08,-1.8852031870498393e-09,-1.1566779573003249e-05
5.467,1.7457980257449808e-08,-4.0050690816898486e-08,-1.109823747233954e-05
5.47,1.7263897701903085e-08,-7.647059785635661e-08,-1.0409167475871284e-05
5.473,1.6952560875008862e-08,-1.1042439147738817e-07,-9.517041942415189e-06
5.477,1.653328909476449e-08,-1.4125076558454212e-07,-8.440515860711715e-06
5.48,1.6017501274839283e-08,-1.6835119448041322e-07,-7.198960727448274e-06
5.483,1.541850290245553e-08,-1.9119220041703645e-07,-5.812319576612221e-06
5.487,1.4751265744616893e-08,-2.0930741446593374e-07,-4.301293873862948e-06
5.49,1.4032199209302447e-08,-2.2230049352344642e-07,-2.687810195557699e-06
5.493,1.3278909048296844e-08,-2.298497754990242e-07,-9.95706010813366e-07
5.497,1.2509936594738558e-08,-2.3171529408827353e-07,7.484961635216985e-07
5.5,1.1744470356142151e-08,-2.2774835330679014e-07,2.514839515443337e-06
5.503,1.1002021808686692e-08,-2.1790345078393117e-07,4.269362168688949e-06
5.507,1.0302058759904077e-08,-2.0225184566816966e-07,5.9738359565326294e-06
5.51,9.663592706920561e-09,-1.809956382624396e-07,7.585936024531416e-06
5.513,9.104721014728055e-09,-1.5448085236020993e-07,9.05992878117774e-06
5.517,8.642130150793994e-09,-1.2320777524731068e-07,1.0347898846394932e-05
5.52,8.290572134433544e-09,-8.783674651012498e-08,1.1401529637343116e-05
5.523,8.062332300521782e-09,-4.9187628503971214e-08,1.2174343617288956e-05
5.527,7.966711822903771e-09,-8.23151665172403e-09,1.2624293750887187e-05
5.53,8.009552543203203e-09,3.392633568392616e-08,1.2716531647906287e-05
5.533,8.192834052622586e-09,7.607279670546494e-08,1.2426148382590922e-05
5.537,8.514373220847598e-09,1.1692207012890044e-07,1.174067336550192e-05
5.54,8.96765423263947e-09,1.5515883615220222e-07,1.0662090150245132e-05
5.543,9.541812588268696e-09,1.8948755799659847e-07,9.208187699266575e-06
5.547,1.0221789640808106e-08,2.1868558581723066e-07,7.413063428804203e-06
